|home|away|date|home_pts|away_pts|game_id
281|HOU|ATL|2019-11-30|158|111|21900282
60|WAS|HOU|2019-10-30|158|159|21900061
686|ATL|WAS|2020-01-26|152|133|21900687
704|MIL|WAS|2020-01-28|151|131|21900705
181|LAC|ATL|2019-11-16|150|101|21900182
291|LAC|WAS|2019-12-01|150|125|21900292
978|DAL|HOU|2020-07-31|149|153|21901238
1007|BOS|BKN|2020-08-05|149|115|21901267
955|ATL|CHA|2020-03-09|143|138|21900957
220|DAL|CLE|2019-11-22|143|101|21900221
402|NYK|ATL|2019-12-17|143|120|21900403
341|LAL|MIN|2019-12-08|142|125|21900342
780|MIN|LAC|2020-02-08|142|115|21900782
207|DAL|GSW|2019-11-20|142|94|21900208
876|ATL|BKN|2020-02-28|141|118|21900878
816|BOS|LAC|2020-02-13|141|133|21900818
331|PHI|CLE|2019-12-07|141|94|21900332
676|OKC|ATL|2020-01-24|140|111|21900677
577|BOS|NOP|2020-01-11|140|105|21900578
948|PHX|MIL|2020-03-08|140|131|21900950
620|TOR|WAS|2020-01-17|140|111|21900621
785|ATL|NYK|2020-02-09|140|135|21900787
1008|SAC|NOP|2020-08-06|140|125|21901268
155|BOS|WAS|2019-11-13|140|133|21900156
868|HOU|MEM|2020-02-26|140|112|21900870
974|POR|MEM|2020-07-31|140|135|21901234
929|BKN|SAS|2020-03-06|139|120|21900931
647|BOS|LAL|2020-01-20|139|107|21900648
325|OKC|MIN|2019-12-06|139|127|21900326
576|HOU|MIN|2020-01-11|139|109|21900577
691|POR|IND|2020-01-26|139|129|21900692
721|NOP|MEM|2020-01-31|139|111|21900723
852|DAL|MIN|2020-02-24|139|123|21900854
202|WAS|SAS|2019-11-20|138|132|21900203
615|NOP|UTA|2020-01-16|138|132|21900616
802|NOP|POR|2020-02-11|138|117|21900804
136|PHX|BKN|2019-11-10|138|112|21900137
745|MIA|PHI|2020-02-03|137|106|21900747
794|TOR|MIN|2020-02-10|137|126|21900796
107|MEM|MIN|2019-11-06|137|121|21900108
282|MIL|CHA|2019-11-30|137|96|21900283
212|MIL|POR|2019-11-21|137|129|21900213
875|ORL|MIN|2020-02-28|136|125|21900877
480|SAS|DET|2019-12-28|136|109|21900481
360|CHI|ATL|2019-12-11|136|102|21900361
1024|DAL|MIL|2020-08-08|136|132|21901284
895|LAC|PHI|2020-03-01|136|130|21900897
264|POR|OKC|2019-11-27|136|119|21900265
91|BKN|NOP|2019-11-04|135|125|21900092
302|SAS|HOU|2019-12-03|135|133|21900303
793|ORL|ATL|2020-02-10|135|126|21900795
533|LAC|NYK|2020-01-05|135|132|21900534
353|MIA|ATL|2019-12-10|135|121|21900354
238|LAC|NOP|2019-11-24|134|109|21900239
909|NOP|MIN|2020-03-03|134|139|21900911
657|MIA|WAS|2020-01-22|134|129|21900658
740|CLE|NYK|2020-02-03|134|139|21900742
36|MEM|BKN|2019-10-27|134|133|21900037
849|WAS|MIL|2020-02-24|134|137|21900851
1021|DEN|UTA|2020-08-08|134|132|21901281
570|MEM|SAS|2020-01-10|134|121|21900571
1052|ORL|NOP|2020-08-13|133|127|21901312
914|SAC|WAS|2020-03-03|133|126|21900916
719|BKN|CHI|2020-01-31|133|118|21900721
896|DEN|TOR|2020-03-01|133|118|21900898
1049|BKN|POR|2020-08-13|133|134|21901309
880|MIL|OKC|2020-02-28|133|86|21900882
394|TOR|CLE|2019-12-16|133|113|21900395
459|DET|WAS|2019-12-26|132|102|21900460
287|DET|SAS|2019-12-01|132|98|21900288
190|TOR|CHA|2019-11-18|132|96|21900191
994|PHI|SAS|2020-08-03|132|130|21901254
262|PHX|WAS|2019-11-27|132|140|21900263
192|HOU|POR|2019-11-18|132|108|21900193
884|LAC|DEN|2020-02-28|132|103|21900886
296|MIL|NYK|2019-12-02|132|88|21900297
318|NOP|PHX|2019-12-05|132|139|21900319
987|ORL|SAC|2020-08-02|132|116|21901247
163|NOP|LAC|2019-11-14|132|127|21900164
952|CLE|SAS|2020-03-08|132|129|21900954
844|OKC|SAS|2020-02-23|131|103|21900846
967|ATL|NYK|2020-03-11|131|136|21900969
1040|DAL|POR|2020-08-11|131|134|21901300
616|GSW|DEN|2020-01-16|131|134|21900617
812|DAL|SAC|2020-02-12|130|111|21900814
329|DAL|NOP|2019-12-07|130|84|21900330
290|TOR|UTA|2019-12-01|130|110|21900291
500|HOU|DEN|2019-12-31|130|104|21900501
702|TOR|ATL|2020-01-28|130|114|21900703
625|NOP|LAC|2020-01-18|130|133|21900626
0|TOR|NOP|2019-10-22|130|122|21900001
34|PHX|LAC|2019-10-26|130|122|21900035
1009|MIL|MIA|2020-08-06|130|116|21901269
886|ATL|POR|2020-02-29|129|117|21900888
465|BOS|CLE|2019-12-27|129|117|21900466
651|POR|GSW|2020-01-20|129|124|21900652
977|SAS|SAC|2020-07-31|129|120|21901237
755|BKN|GSW|2020-02-05|129|88|21900757
848|PHI|ATL|2020-02-24|129|112|21900850
752|LAL|SAS|2020-02-04|129|102|21900754
883|UTA|WAS|2020-02-28|129|119|21900885
85|MIA|HOU|2019-11-03|129|100|21900086
106|HOU|GSW|2019-11-06|129|112|21900107
45|MIL|CLE|2019-10-28|129|112|21900046
423|MIA|NYK|2019-12-20|129|114|21900424
157|MIN|SAS|2019-11-13|129|114|21900158
738|TOR|CHI|2020-02-02|129|102|21900740
737|MIL|PHX|2020-02-02|129|108|21900739
819|ATL|MIA|2020-02-20|129|124|21900821
822|SAC|MEM|2020-02-20|129|125|21900824
695|MIN|SAC|2020-01-27|129|133|21900696
560|UTA|NYK|2020-01-08|128|104|21900561
600|MIL|NYK|2020-01-14|128|102|21900601
602|LAC|CLE|2020-01-14|128|103|21900603
614|MIL|BOS|2020-01-16|128|123|21900615
596|LAL|CLE|2020-01-13|128|99|21900597
735|DET|DEN|2020-02-02|128|123|21900737
761|LAC|MIA|2020-02-05|128|111|21900763
514|SAC|MEM|2020-01-02|128|123|21900515
985|BOS|POR|2020-08-02|128|124|21901245
527|WAS|DEN|2020-01-04|128|114|21900528
83|POR|PHI|2019-11-02|128|129|21900084
214|DET|ATL|2019-11-22|128|103|21900215
720|HOU|DAL|2020-01-31|128|121|21900722
233|UTA|NOP|2019-11-23|128|120|21900234
382|MEM|WAS|2019-12-14|128|111|21900383
1032|PHX|OKC|2020-08-10|128|101|21901292
842|DEN|MIN|2020-02-23|128|116|21900844
307|ORL|PHX|2019-12-04|128|114|21900308
1053|PHX|DAL|2020-08-13|128|102|21901313
164|PHX|ATL|2019-11-14|128|112|21900165
921|DAL|NOP|2020-03-04|127|123|21900923
936|PHX|POR|2020-03-06|127|117|21900938
653|DET|SAC|2020-01-22|127|106|21900654
841|TOR|IND|2020-02-23|127|81|21900843
171|OKC|PHI|2019-11-15|127|119|21900172
982|IND|PHI|2020-08-01|127|121|21901242
203|ATL|MIL|2019-11-20|127|135|21900204
219|OKC|LAL|2019-11-22|127|130|21900220
487|NOP|HOU|2019-12-29|127|112|21900488
363|MIL|NOP|2019-12-11|127|112|21900364
314|POR|SAC|2019-12-04|127|116|21900315
530|MIL|SAS|2020-01-04|127|118|21900531
714|ATL|PHI|2020-01-30|127|117|21900716
751|DEN|POR|2020-02-04|127|99|21900753
709|SAS|UTA|2020-01-29|127|120|21900711
95|GSW|POR|2019-11-04|127|118|21900096
772|PHX|HOU|2020-02-07|127|91|21900774
