name,dist,value,made
A. Coffey,0,2,True
A. Coffey,25,3,False
A. Gordon,14,2,False
B. Adebayo,1,2,True
B. Bogdanovic,26,3,False
B. Hield,24,3,True
B. Hield,25,3,True
B. Hield,25,3,False
C. Reddish,25,3,False
C. Reddish,23,3,False
C. Wood,0,2,True
D. Augustin,1,2,False
D. Bazley,26,3,False
D. Bazley,26,3,True
D. Bazley,25,3,False
D. Burton,0,2,False
D. Burton,25,3,False
D. Fox,8,2,False
D. Fox,22,3,False
D. Fox,7,2,False
D. Fox,11,2,False
D. Fox,0,2,True
D. Hall,5,2,False
D. Hall,25,3,True
D. Hall,0,2,True
D. Hunter,9,2,True
D. Robinson,25,3,False
D. Robinson,25,3,False
D. Rose,14,2,False
D. Theis,0,2,True
E. Fournier,25,3,False
E. Fournier,8,2,True
G. Dragic,11,2,False
G. Dragic,1,2,False
G. Dragic,24,3,False
H. Diallo,25,3,True
H. Diallo,5,2,True
H. Diallo,22,3,False
H. Diallo,34,3,False
J. Collins,5,2,True
J. Johnson,22,3,False
J. Johnson,1,2,True
J. Noah,2,2,True
J. Randle,23,3,True
J. Randle,13,2,True
J. Randle,26,3,False
J. Tatum,27,3,False
J. Tatum,22,2,True
J. Tatum,29,3,False
J. Tatum,25,3,False
K. Hervey,16,2,True
K. Hervey,27,3,False
K. Hervey,28,3,False
K. Nunn,23,3,True
L. Galloway,26,3,False
L. Galloway,26,3,False
L. Galloway,25,3,False
M. Fultz,0,2,True
M. Fultz,25,3,False
M. Fultz,12,2,True
M. Fultz,2,2,False
M. Fultz,9,2,True
M. Fultz,7,2,False
M. Morris,11,2,False
M. Robinson,0,2,True
M. Robinson,0,2,True
M. Smart,7,2,False
M. Smart,25,3,False
M. Smart,0,2,False
N. Vucevic,1,2,True
N. Vucevic,26,3,False
N. Vucevic,21,2,False
N. Vucevic,16,2,False
N. Vucevic,25,3,False
P. Patterson,27,3,False
P. Patterson,1,2,False
P. Patterson,22,3,True
P. Patterson,22,3,False
P. Patterson,2,2,False
R. Barrett,25,3,True
R. Jackson,16,2,True
R. Jackson,5,2,False
R. Jackson,8,2,False
T. Maker,4,2,False
T. Mann,1,2,True
T. Mann,11,2,True
T. Mann,27,3,True
T. Ross,1,2,False
T. Ross,22,3,False
T. Young,25,3,False
T. Young,30,3,False
T. Young,15,2,False
V. Carter,25,3,True
